Link_ID,FromNode,ToNode,FromNodeXCoord,FromNodeYCoord,ToNodeXCoord,ToNodeYCoord
24016139,49324473,49324474,-118.155850039161,34.154979959581,-118.155649965714,34.155119999416
24016139,49324474,49324473,-118.155649965714,34.155119999416,-118.155850039161,34.154979959581
24016600,49324470,49329347,-118.151920010687,34.154080024553,-118.150539972890,34.154110012396
24016600,49329347,49324470,-118.150539972890,34.154110012396,-118.151920010687,34.154080024553
24016628,49324052,49324286,-118.161720006826,34.154460024020,-118.161349946613,34.154059970387
24016628,49324286,49324052,-118.161349946613,34.154059970387,-118.161720006826,34.154460024020
24016914,49324322,49324428,-118.156760018149,34.154349955945,-118.155890047397,34.152630030444
24016914,49324428,49324322,-118.155890047397,34.152630030444,-118.156760018149,34.154349955945
24016926,49324458,49324470,-118.152999959837,34.153439976305,-118.151920010687,34.154080024553
24016926,49324470,49324458,-118.151920010687,34.154080024553,-118.152999959837,34.153439976305
24016927,49324458,49324479,-118.152999959837,34.153439976305,-118.153849948934,34.154499992070
24016927,49324479,49324458,-118.153849948934,34.154499992070,-118.152999959837,34.153439976305
24017071,49324286,49324287,-118.161349946613,34.154059970387,-118.160620049032,34.153150013788
24017071,49324287,49324286,-118.160620049032,34.153150013788,-118.161349946613,34.154059970387
24017129,49329346,49329347,-118.150489990439,34.153079992121,-118.150539972890,34.154110012396
24017129,49329347,49329346,-118.150539972890,34.154110012396,-118.150489990439,34.153079992121
24017204,49324304,49324305,-118.158789951586,34.152939961028,-118.157889954307,34.153559965552
24017204,49324305,49324304,-118.157889954307,34.153559965552,-118.158789951586,34.152939961028
24017272,49324435,49324458,-118.154079976866,34.152830038195,-118.152999959837,34.153439976305
24017272,49324458,49324435,-118.152999959837,34.153439976305,-118.154079976866,34.152830038195
24017273,49324435,49324473,-118.154079976866,34.152830038195,-118.155850039161,34.154979959581
24017273,49324473,49324435,-118.155850039161,34.154979959581,-118.154079976866,34.152830038195
24017492,49329345,49329346,-118.150489961623,34.152429973651,-118.150489990439,34.153079992121
24017492,49329346,49329345,-118.150489990439,34.153079992121,-118.150489961623,34.152429973651
24017540,49324468,49329345,-118.151479986837,34.152349988838,-118.150489961623,34.152429973651
24017540,49329345,49324468,-118.150489961623,34.152429973651,-118.151479986837,34.152349988838
24017564,49324466,49324468,-118.152039946942,34.152320025144,-118.151479986837,34.152349988838
24017564,49324468,49324466,-118.151479986837,34.152349988838,-118.152039946942,34.152320025144
24017611,49324288,49324304,-118.159739956787,34.152209998889,-118.158789951586,34.152939961028
24017611,49324304,49324288,-118.158789951586,34.152939961028,-118.159739956787,34.152209998889
24017634,49324456,49324466,-118.153480012439,34.152079968163,-118.152039946942,34.152320025144
24017634,49324466,49324456,-118.152039946942,34.152320025144,-118.153480012439,34.152079968163
24017829,49329340,49329353,-118.150500022008,34.151940020572,-118.150230008979,34.151930016081
24017829,49329353,49329340,-118.150230008979,34.151930016081,-118.150500022008,34.151940020572
24018652,49329320,49329321,-118.150500046719,34.150430043033,-118.150500019400,34.150979962204
24018652,49329321,49329320,-118.150500019400,34.150979962204,-118.150500046719,34.150430043033
24019096,49324281,49324282,-118.161210049648,34.149679985658,-118.161010021635,34.150019962955
24019096,49324282,49324281,-118.161010021635,34.150019962955,-118.161210049648,34.149679985658
24019162,49324436,49324450,-118.153590018853,34.149640011631,-118.151779962542,34.150539963485
24019162,49324450,49324436,-118.151779962542,34.150539963485,-118.153590018853,34.149640011631
24019738,49323821,49323825,-118.161750052201,34.148399999947,-118.161740012856,34.148760003765
24019738,49323825,49323821,-118.161740012856,34.148760003765,-118.161750052201,34.148399999947
24019909,49323821,49323822,-118.161750052201,34.148399999947,-118.161630017030,34.148069994565
24019909,49323822,49323821,-118.161630017030,34.148069994565,-118.161750052201,34.148399999947
24020234,49329252,49329315,-118.150529979593,34.147669976828,-118.150520030565,34.149600017353
