timestamp,lat,lng,speed,vehicle_ID
1425429058,33.8434,-112.135,13,26
1425429059,33.8434,-112.135,11,26
1425429060,33.8433,-112.135,9,26
1425429061,33.8433,-112.135,6,26
1425429062,33.8433,-112.135,4,26
1425429063,33.8433,-112.135,4,26
1425429064,33.8433,-112.135,4,26
1425429065,33.8433,-112.135,4,26
1425429066,33.8433,-112.135,3,26
1425429067,33.8432,-112.135,3,26
1425429068,33.8432,-112.135,3,26
1425429069,33.8432,-112.135,3,26
1425429070,33.8432,-112.135,3,26
1425429071,33.8432,-112.135,2,26
1425429072,33.8432,-112.135,2,26
1425429073,33.8432,-112.135,4,26
1425429074,33.8432,-112.135,6,26
1425429075,33.8432,-112.135,10,26
1425429076,33.8431,-112.135,13,26
1425429077,33.8431,-112.135,17,26
1425429078,33.843,-112.135,21,26
1425429079,33.843,-112.135,24,26
1425429080,33.8429,-112.135,27,26
1425429081,33.8429,-112.135,29,26
1425429082,33.8428,-112.135,30,26
1425429083,33.8427,-112.135,32,26
1425429084,33.8426,-112.135,34,26
1425429085,33.8425,-112.135,36,26
1425429215,33.8426,-112.135,49,26
1425429216,33.8427,-112.135,48,26
1425429217,33.8428,-112.135,48,26
1425429218,33.843,-112.135,48,26
1425429219,33.8431,-112.135,48,26
1425429220,33.8432,-112.135,49,26
1425429221,33.8433,-112.135,49,26
1425416516,33.8433,-112.135,49,27
1425416517,33.8432,-112.135,48,27
1425416518,33.843,-112.135,47,27
1425416519,33.8429,-112.135,48,27
1425416520,33.8428,-112.135,48,27
1425416521,33.8427,-112.135,49,27
1425416522,33.8426,-112.135,50,27
1425416669,33.8426,-112.135,49,27
1425416670,33.8427,-112.135,49,27
1425416671,33.8428,-112.135,48,27
1425416672,33.843,-112.135,48,27
1425416673,33.8431,-112.135,48,27
1425416674,33.8432,-112.135,49,27
1425416675,33.8433,-112.135,49,27
1425417556,33.8434,-112.135,15,27
1425417557,33.8433,-112.135,12,27
1425417558,33.8433,-112.135,9,27
1425417559,33.8433,-112.135,7,27
1425417560,33.8433,-112.135,5,27
