VehicleName,Timestamp,Latitude,Longitude,RoadTemp
208564,2014-02-21 05:20:04.000000,45.26681,-93.82012,13.8
208564,2014-02-21 05:30:02.000000,45.23922,-93.84685,13.8
208564,2014-02-21 05:40:02.000000,45.21341,-93.85237,13.8
208564,2014-02-21 05:50:02.000000,45.27736,-93.81223,13.8
208564,2014-02-21 06:00:04.000000,45.29329,-93.79253,13.8
208564,2014-02-21 06:10:04.000000,45.29327,-93.79253,13.8
208564,2014-02-21 06:20:00.000000,45.29321,-93.79252,13.8
208564,2014-02-21 06:30:04.000000,45.29331,-93.79197,13.8
208564,2014-02-21 06:40:04.000000,45.31239,-93.78064,13.8
208564,2014-02-21 06:50:02.000000,45.33376,-93.74551,13.8
208564,2014-02-21 07:00:02.000000,45.32277,-93.75959,13.8
208564,2014-02-21 07:10:00.000000,45.32277,-93.75955,13.8
208564,2014-02-21 07:20:10.000000,45.31939,-93.76606,13.8
208564,2014-02-21 07:30:10.000000,45.29874,-93.79929,13.8
208564,2014-02-21 07:40:10.000000,45.26737,-93.8197,13.8
208564,2014-02-21 07:50:10.000000,45.24172,-93.84559,13.8
208564,2014-02-21 08:00:10.000000,45.20144,-93.8669,13.8
208564,2014-02-21 08:10:10.000000,45.2394,-93.84671,13.8
208564,2014-02-21 08:20:12.000000,45.29383,-93.79734,13.8
208564,2014-02-21 08:30:12.000000,45.29566,-93.79895,13.8
208564,2014-02-21 08:40:12.000000,45.29635,-93.79899,13.8
208564,2014-02-21 08:50:08.000000,45.29358,-93.79255,13.8
208564,2014-02-21 09:00:08.000000,45.29674,-93.79039,13.8
208564,2014-02-21 09:10:02.000000,45.28964,-93.76707,13.8
208564,2014-02-21 09:20:12.000000,45.2677,-93.72224,13.8
208564,2014-02-21 09:30:12.000000,45.2449,-93.67438,13.8
208564,2014-02-21 09:40:12.000000,45.23917,-93.66322,13.8
208564,2014-02-21 09:50:10.000000,45.24028,-93.658,13.8
208564,2014-02-21 10:00:10.000000,45.24044,-93.65923,13.8
208564,2014-02-21 10:10:10.000000,45.24044,-93.65903,13.8
208564,2014-02-21 10:20:06.000000,45.24062,-93.66002,13.8
208564,2014-02-21 10:30:12.000000,45.24192,-93.66302,13.8
208564,2014-02-21 10:40:08.000000,45.28988,-93.76231,13.8
208564,2014-02-21 10:50:10.000000,45.29331,-93.79198,13.8
208564,2014-02-21 11:00:10.000000,45.29515,-93.78402,13.8
208564,2014-02-21 11:10:12.000000,45.27374,-93.73344,13.8
208564,2014-02-21 11:20:12.000000,45.24703,-93.67986,13.8
208564,2014-02-21 11:30:12.000000,45.2277,-93.61842,13.8
208564,2014-02-21 11:40:12.000000,45.19375,-93.55309,13.8
208564,2014-02-21 11:50:12.000000,45.20428,-93.57305,13.8
208564,2014-02-21 12:00:08.000000,45.23005,-93.62893,13.8
208564,2014-02-21 12:10:04.000000,45.24781,-93.68101,13.8
208564,2014-02-21 12:20:04.000000,45.27002,-93.72493,13.8
208564,2014-02-21 12:30:04.000000,45.29051,-93.76911,13.8
208564,2014-02-21 12:40:10.000000,45.29331,-93.79256,13.8
208564,2014-02-21 12:50:12.000000,45.29301,-93.79188,13.8
208564,2014-02-21 13:00:12.000000,45.29302,-93.79189,13.8
208564,2014-02-21 13:10:10.000000,45.29332,-93.7926,13.8
208564,2014-02-21 13:20:10.000000,45.31085,-93.78759,13.8
208564,2014-02-21 13:30:10.000000,45.3338,-93.74524,13.8
208564,2014-02-21 13:40:08.000000,45.31385,-93.77699,13.8
208564,2014-02-21 13:50:08.000000,45.32429,-93.75655,13.8
208564,2014-02-21 14:00:08.000000,45.29697,-93.80047,13.8
208564,2014-02-21 14:10:00.000000,45.27868,-93.8113,23.0
208564,2014-02-21 14:20:00.000000,45.23424,-93.84709,13.8
208564,2014-02-21 14:30:00.000000,45.20548,-93.86198,23.8
208564,2014-02-21 14:40:28.000000,45.2461,-93.84202,15.8
208564,2014-02-21 14:50:26.000000,45.24612,-93.84199,11.5
208564,2014-02-21 15:00:26.000000,45.20802,-93.85892,22.0
