lat,lon,count
42.2873,-83.7481,5
42.2873,-83.748,395
42.2873,-83.7479,2533
42.2873,-83.7478,2176
42.2873,-83.7477,7
42.2873,-83.7465,194
42.2873,-83.7464,49
42.2873,-83.7451,14
42.2873,-83.745,56
42.2873,-83.7443,4
42.2873,-83.7442,28
42.2873,-83.7441,11
42.2873,-83.744,1
42.2873,-83.7439,4
42.2873,-83.7431,7
42.2873,-83.743,695
42.2873,-83.7429,4524
42.2873,-83.7428,12160
42.2873,-83.7427,8292
42.2873,-83.7426,3617
42.2873,-83.7425,5311
42.2873,-83.7424,3873
42.2873,-83.7423,2031
42.2873,-83.7422,494
42.2873,-83.7421,33
42.2873,-83.742,6
42.2874,-83.7481,1
42.2874,-83.748,12
42.2874,-83.7479,2424
42.2874,-83.7478,3817
42.2874,-83.7477,215
42.2874,-83.7466,2
42.2874,-83.7465,18
42.2874,-83.7464,238
42.2874,-83.7463,3
42.2874,-83.745,73
42.2874,-83.7449,17
42.2874,-83.7446,4
42.2874,-83.7445,45
42.2874,-83.7444,58
42.2874,-83.7443,37
42.2874,-83.7442,7
42.2874,-83.7439,9
42.2874,-83.7438,3
42.2874,-83.7431,1
42.2874,-83.743,45
42.2874,-83.7429,1824
42.2874,-83.7428,9798
42.2874,-83.7427,18447
42.2874,-83.7426,14289
42.2874,-83.7425,3324
42.2874,-83.7424,156
42.2874,-83.7423,18
42.2874,-83.7421,4
42.2874,-83.742,6
42.2874,-83.7419,3
42.2875,-83.749,1
42.2875,-83.748,7
42.2875,-83.7479,1006
42.2875,-83.7478,3551
42.2875,-83.7477,3006
42.2875,-83.7476,3
42.2875,-83.7464,144
42.2875,-83.7463,197
42.2875,-83.745,14
42.2875,-83.7449,421
42.2875,-83.7448,63
42.2875,-83.7447,320
42.2875,-83.7446,187
42.2875,-83.7445,52
42.2875,-83.7438,10
42.2875,-83.7434,1
42.2875,-83.7433,43
42.2875,-83.7432,1515
42.2875,-83.7431,3047
42.2875,-83.743,3840
42.2875,-83.7429,2944
42.2875,-83.7428,948
42.2875,-83.7427,474
42.2875,-83.7426,2340
42.2875,-83.7425,4044
42.2875,-83.7424,4605
42.2875,-83.7423,1169
42.2875,-83.7422,28
42.2875,-83.7421,9
42.2875,-83.742,9
42.2875,-83.7419,4
42.2875,-83.7418,2
42.2876,-83.748,4
42.2876,-83.7479,23
42.2876,-83.7478,3140
42.2876,-83.7477,5066
42.2876,-83.7476,59
42.2876,-83.7464,2
42.2876,-83.7463,375
42.2876,-83.7462,34
42.2876,-83.7457,4
42.2876,-83.7449,195
42.2876,-83.7448,666
42.2876,-83.7447,86
42.2876,-83.7437,25
42.2876,-83.7436,12
42.2876,-83.7435,987
42.2876,-83.7434,3290
42.2876,-83.7433,4458
42.2876,-83.7432,3453
42.2876,-83.7431,1444
42.2876,-83.743,384
42.2876,-83.7429,52
42.2876,-83.7428,6
42.2876,-83.7427,3
42.2876,-83.7426,1
42.2876,-83.7425,212
42.2876,-83.7424,1831
42.2876,-83.7423,2978
42.2876,-83.7422,1366
42.2876,-83.7421,277
42.2876,-83.742,57
42.2876,-83.7419,30
42.2876,-83.7418,4
42.2877,-83.7484,4
42.2877,-83.7479,14
42.2877,-83.7478,1520
42.2877,-83.7477,5097
42.2877,-83.7476,2451
42.2877,-83.7475,2
42.2877,-83.7463,74
42.2877,-83.7462,467
42.2877,-83.7461,3
42.2877,-83.7451,2
42.2877,-83.7448,362
42.2877,-83.7447,835
42.2877,-83.7446,438
42.2877,-83.7439,3
42.2877,-83.7438,259
42.2877,-83.7437,3026
42.2877,-83.7436,4214
42.2877,-83.7435,4217
42.2877,-83.7434,2007
42.2877,-83.7433,800
42.2877,-83.7432,70
42.2877,-83.7431,6
42.2877,-83.743,5
42.2877,-83.7426,3
42.2877,-83.7425,5
42.2877,-83.7423,129
42.2877,-83.7422,1027
42.2877,-83.7421,1791
42.2877,-83.742,1129
42.2877,-83.7419,627
42.2877,-83.7418,102
42.2877,-83.7417,15
42.2877,-83.7416,10
42.2878,-83.7508,1
42.2878,-83.7507,4
42.2878,-83.7506,2
42.2878,-83.7479,8
42.2878,-83.7478,160
42.2878,-83.7477,4302
42.2878,-83.7476,5478
42.2878,-83.7475,27
42.2878,-83.7463,5
42.2878,-83.7462,338
42.2878,-83.7461,250
42.2878,-83.7448,5
42.2878,-83.7447,590
42.2878,-83.7446,251
42.2878,-83.7441,37
42.2878,-83.744,2132
42.2878,-83.7439,4148
42.2878,-83.7438,5508
42.2878,-83.7437,2590
42.2878,-83.7436,1294
42.2878,-83.7435,129
42.2878,-83.7434,18
42.2878,-83.7433,7
42.2878,-83.7426,6
42.2878,-83.7422,2
42.2878,-83.7421,244
42.2878,-83.742,2105
42.2878,-83.7419,2623
42.2878,-83.7418,1500
42.2878,-83.7417,392
42.2878,-83.7416,72
42.2878,-83.7415,13
42.2879,-83.7507,1
42.2879,-83.7505,1
42.2879,-83.7479,7
42.2879,-83.7478,16
42.2879,-83.7477,2846
42.2879,-83.7476,6528
42.2879,-83.7475,1340
42.2879,-83.7462,25
42.2879,-83.7461,702
42.2879,-83.746,7
42.2879,-83.7455,2
42.2879,-83.7447,94
42.2879,-83.7446,1661
42.2879,-83.7445,2276
42.2879,-83.7444,14
42.2879,-83.7443,1195
42.2879,-83.7442,4626
42.2879,-83.7441,5713
42.2879,-83.744,4055
42.2879,-83.7439,1791
42.2879,-83.7438,568
42.2879,-83.7437,14
42.2879,-83.7436,7
42.2879,-83.7435,5
42.2879,-83.7434,54
42.2879,-83.7422,1
42.2879,-83.7421,3
42.2879,-83.742,1
42.2879,-83.7419,209
42.2879,-83.7418,1037
42.2879,-83.7417,2232
42.2879,-83.7416,1747
42.2879,-83.7415,610
42.288,-83.7503,1
42.288,-83.7478,10
42.288,-83.7477,727
42.288,-83.7476,5136
42.288,-83.7475,6513
42.288,-83.7474,12
42.288,-83.7464,4
42.288,-83.7463,119
42.288,-83.7462,496
42.288,-83.7461,359
42.288,-83.746,99
42.288,-83.7457,2
42.288,-83.7447,11
42.288,-83.7446,1415
42.288,-83.7445,8567
42.288,-83.7444,8753
42.288,-83.7443,7633
42.288,-83.7442,2830
42.288,-83.7441,855
42.288,-83.744,28
42.288,-83.7439,7
42.288,-83.7438,1
42.288,-83.742,5
42.288,-83.7419,1
42.288,-83.7418,4
42.288,-83.7417,347
42.288,-83.7416,1274
42.288,-83.7415,1432
42.288,-83.7414,170
42.2881,-83.7502,1
42.2881,-83.7501,1
42.2881,-83.7478,4
42.2881,-83.7477,29
42.2881,-83.7476,4223
42.2881,-83.7475,9088
42.2881,-83.7474,503
42.2881,-83.7467,1
42.2881,-83.7466,47
42.2881,-83.7465,514
42.2881,-83.7464,1644
42.2881,-83.7463,1260
42.2881,-83.7462,347
42.2881,-83.7461,115
42.2881,-83.746,675
42.2881,-83.7459,83
42.2881,-83.745,1
42.2881,-83.7449,115
42.2881,-83.7448,3298
42.2881,-83.7447,4964
42.2881,-83.7446,6374
42.2881,-83.7445,3009
42.2881,-83.7444,1811
42.2881,-83.7443,180
42.2881,-83.7442,14
42.2881,-83.7441,2
42.2881,-83.7418,1
42.2881,-83.7417,1
42.2881,-83.7416,1
42.2881,-83.7415,419
42.2881,-83.7414,420
42.2882,-83.7501,4
42.2882,-83.75,9
42.2882,-83.7499,1
42.2882,-83.7477,14
42.2882,-83.7476,1761
42.2882,-83.7475,7347
42.2882,-83.7474,7026
42.2882,-83.7473,6
42.2882,-83.7469,11
42.2882,-83.7468,276
42.2882,-83.7467,2792
42.2882,-83.7466,3272
42.2882,-83.7465,1737
42.2882,-83.7464,171
42.2882,-83.7463,16
42.2882,-83.7462,4
42.2882,-83.746,419
42.2882,-83.7459,1070
42.2882,-83.7458,7
42.2882,-83.7452,38
42.2882,-83.7451,2159
42.2882,-83.745,5135
42.2882,-83.7449,6570
42.2882,-83.7448,4169
42.2882,-83.7447,2203
42.2882,-83.7446,233
42.2882,-83.7445,14
42.2882,-83.7444,2
42.2882,-83.7415,3
42.2882,-83.7414,3
42.2883,-83.7499,16
42.2883,-83.7498,17
42.2883,-83.7497,1
42.2883,-83.7477,25
42.2883,-83.7476,76
42.2883,-83.7475,5387
42.2883,-83.7474,15327
42.2883,-83.7473,74
42.2883,-83.7472,1
42.2883,-83.7471,203
42.2883,-83.747,2532
42.2883,-83.7469,5855
42.2883,-83.7468,3971
42.2883,-83.7467,1218
42.2883,-83.7466,44
42.2883,-83.7465,2
42.2883,-83.7464,8
42.2883,-83.7463,3
42.2883,-83.746,2
42.2883,-83.7459,821
42.2883,-83.7458,1167
42.2883,-83.7455,27
42.2883,-83.7454,1365
42.2883,-83.7453,5266
42.2883,-83.7452,7392
42.2883,-83.7451,6743
42.2883,-83.745,3239
42.2883,-83.7449,786
42.2883,-83.7448,28
42.2883,-83.7447,2
42.2883,-83.7445,2
42.2883,-83.7429,4
42.2883,-83.7414,1
42.2884,-83.7498,1
42.2884,-83.7497,17
42.2884,-83.7496,31
42.2884,-83.7495,7
42.2884,-83.7494,1
42.2884,-83.7476,18
42.2884,-83.7475,3439
42.2884,-83.7474,9372
42.2884,-83.7473,3326
42.2884,-83.7472,22405
42.2884,-83.7471,14082
42.2884,-83.747,6787
42.2884,-83.7469,207
42.2884,-83.7468,2
42.2884,-83.7467,23
42.2884,-83.7463,6
42.2884,-83.7459,130
42.2884,-83.7458,5890
42.2884,-83.7457,4584
42.2884,-83.7456,6596
42.2884,-83.7455,8236
42.2884,-83.7454,8378
42.2884,-83.7453,4779
42.2884,-83.7452,2110
42.2884,-83.7451,74
42.2884,-83.745,4
42.2884,-83.7434,2
42.2885,-83.7495,30
42.2885,-83.7494,37
42.2885,-83.7493,11
42.2885,-83.748,9
42.2885,-83.7479,109
42.2885,-83.7478,1939
42.2885,-83.7477,16989
42.2885,-83.7476,40105
42.2885,-83.7475,16174
42.2885,-83.7474,13984
42.2885,-83.7473,9394
42.2885,-83.7472,5372
42.2885,-83.7471,363
42.2885,-83.7463,4
42.2885,-83.7462,13
42.2885,-83.746,248
42.2885,-83.7459,3922
42.2885,-83.7458,6040
42.2885,-83.7457,10473
42.2885,-83.7456,7359
42.2885,-83.7455,3221
42.2885,-83.7454,504
42.2885,-83.7453,22
42.2885,-83.7439,2
42.2886,-83.7527,4
42.2886,-83.7494,6
42.2886,-83.7493,94
42.2886,-83.7492,42
42.2886,-83.7488,2
42.2886,-83.7485,1
42.2886,-83.7484,16
42.2886,-83.7483,366
42.2886,-83.7482,1108
42.2886,-83.7481,2737
42.2886,-83.748,7002
42.2886,-83.7479,11068
42.2886,-83.7478,13420
42.2886,-83.7477,9903
42.2886,-83.7476,2859
42.2886,-83.7475,1961
42.2886,-83.7474,22251
42.2886,-83.7473,17272
42.2886,-83.7472,62
42.2886,-83.7463,58
42.2886,-83.7462,2927
42.2886,-83.7461,5531
42.2886,-83.746,8915
42.2886,-83.7459,7766
42.2886,-83.7458,3677
42.2886,-83.7457,740
42.2886,-83.7456,123
