RxDevice,FileId,TxDevice,GenTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence
1566,1158354,1566,291864245184365,-9018,52,39100,42.410629,-83.87429,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245284359,-9018,53,39200,42.41061,-83.87429,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245384361,-9018,54,39300,42.410599,-83.87429,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245484361,-9018,55,39400,42.41058,-83.87429,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245584365,-9018,56,39500,42.410568,-83.874283,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245684376,-9018,57,39600,42.410549,-83.874283,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245784368,-9018,58,39700,42.41053,-83.874283,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245884373,-9018,59,39800,42.410519,-83.874283,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864245984369,-9018,60,39900,42.4105,-83.874283,268.60001,17.940001,175.4875,-0.18000001,0.28,-3.9999999E-2,0.91000003,9.0,3276.7,99
1566,1158354,1566,291864246084368,-9018,61,40000,42.41048,-83.874283,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246184361,-9018,62,40100,42.410469,-83.874283,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246284355,-9018,63,40200,42.41045,-83.874283,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246384350,-9018,64,40300,42.410439,-83.874283,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246484349,-9018,65,40400,42.410419,-83.874283,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246584355,-9018,66,40500,42.4104,-83.874268,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246684380,-9018,67,40600,42.410389,-83.874268,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246784353,-9018,68,40700,42.41037,-83.874268,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246884354,-9018,69,40800,42.410358,-83.874268,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864246984360,-9018,70,40900,42.410339,-83.874268,268.60001,17.780001,175.75,-0.17,0.23999999,-5.9999999E-2,0.81,9.0,3276.7,99
1566,1158354,1566,291864247084381,-9018,71,41000,42.41032,-83.87426,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247184349,-9018,72,41100,42.410309,-83.87426,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247284359,-9018,73,41200,42.41029,-83.87426,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247384339,-9018,74,41300,42.410271,-83.87426,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247484343,-9018,75,41400,42.410259,-83.874252,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247584361,-9018,76,41500,42.41024,-83.874252,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247684363,-9018,77,41600,42.410229,-83.874252,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247784354,-9018,78,41700,42.41021,-83.874252,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247884366,-9018,79,41800,42.410191,-83.874237,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864247984352,-9018,80,41900,42.410179,-83.874237,268.70001,17.780001,175.33749,-9.9999998E-3,0.18000001,-5.9999999E-2,0.63,9.0,3276.7,97
1566,1158354,1566,291864248084376,-9018,81,42000,42.41016,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248184367,-9018,82,42100,42.410141,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248284363,-9018,83,42200,42.41013,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248384361,-9018,84,42300,42.41011,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248484373,-9018,85,42400,42.410099,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248584365,-9018,86,42500,42.41008,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248684377,-9018,87,42600,42.410061,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248784600,-9018,88,42700,42.410049,-83.874237,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248884402,-9018,89,42800,42.41003,-83.874229,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864248984400,-9018,90,42900,42.410019,-83.874229,268.5,17.98,175.6875,0.18000001,0.16,-7.9999998E-2,0.58999997,9.0,3276.7,98
1566,1158354,1566,291864249084372,-9018,91,43000,42.41,-83.874229,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249184374,-9018,92,43100,42.409981,-83.874229,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249284358,-9018,93,43200,42.409969,-83.874222,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249384362,-9018,94,43300,42.40995,-83.874222,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249484362,-9018,95,43400,42.409931,-83.874222,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249584363,-9018,96,43500,42.40992,-83.874222,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249684368,-9018,97,43600,42.409901,-83.874222,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249784368,-9018,98,43700,42.409882,-83.874207,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249884351,-9018,99,43800,42.40987,-83.874207,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864249984377,-9018,100,43900,42.409851,-83.874207,268.60001,18.16,175.7375,0.18000001,0.15000001,-7.9999998E-2,0.5,9.0,3276.7,99
1566,1158354,1566,291864250084387,-9018,101,44000,42.409828,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250184362,-9018,102,44100,42.409821,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250284344,-9018,103,44200,42.409801,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250384360,-9018,104,44300,42.409779,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250484362,-9018,105,44400,42.409771,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250584344,-9018,106,44500,42.409752,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
